wage,tenure,training,occupation,union,exporter,firm
23.56,14,34,5,0,1,16
13.76,4,20,3,0,0,34
21.35,13,18,4,0,0,55
15.12,13,7,4,0,1,6
15.66,2,3,2,0,1,19
20.69,15,27,3,0,1,8
25.78,8,18,1,0,1,33
15.31,6,19,1,1,1,8
39.63,15,14,3,0,1,51
12.25,15,29,2,0,0,58
13.98,13,33,4,0,1,19
11.54,10,22,4,0,0,32
29.46,8,5,3,0,0,23
13.14,17,16,5,1,0,44
21.53,8,31,3,1,0,56
30.17,10,29,3,0,1,19
44.4,14,0,3,0,1,4
22.92,8,8,6,0,0,34
9.45,7,39,6,1,0,34
7.18,1,26,4,0,0,53
22.25,5,21,1,0,0,29
24.04,11,42,1,0,0,15
8.93,9,17,4,1,1,24
16.38,0,25,3,0,0,55
15.02,6,35,5,0,0,56
35.2,17,24,5,1,1,2
9.85,16,12,4,0,0,37
23.69,5,53,1,0,1,51
21.93,13,0,1,1,0,17
25.08,15,15,4,0,0,25
12.55,3,3,4,0,0,32
19.85,4,21,3,0,0,60
12.56,11,17,4,0,0,58
8.81,6,3,3,0,0,3
14.76,6,19,2,1,0,25
18.26,7,16,2,0,1,11
19.42,14,24,1,1,0,54
6.42,7,13,4,0,0,34
11.36,5,14,6,0,0,28
12.29,10,11,3,1,0,29
22.35,6,20,3,0,0,7
20.84,9,0,2,0,0,21
21.15,5,50,6,0,1,52
11.25,7,22,3,0,1,43
19.85,9,31,5,0,1,24
19.02,12,32,1,0,0,3
13.89,12,9,2,0,1,2
18.54,1,19,5,0,0,49
21.12,9,44,5,0,0,5
21.29,4,3,2,0,1,43
15.78,11,40,5,0,1,42
11.84,6,58,3,1,0,27
15.76,5,5,6,0,0,41
20.12,15,8,4,0,1,35
18.1,2,11,4,0,1,4
16.82,12,12,1,0,1,51
25.47,7,30,2,0,0,18
12.64,9,0,5,0,0,17
9.57,15,15,5,0,0,32
17.77,9,10,1,1,0,49
17.94,13,5,1,0,0,28
9.95,2,17,6,0,1,1
12.39,10,21,6,0,0,17
24.59,10,21,3,0,0,23
14.94,6,0,2,0,1,40
31.28,13,28,2,1,0,23
15.78,7,12,2,0,1,2
34.47,6,29,3,1,1,14
13.92,20,13,1,1,0,10
17.17,12,3,6,1,0,9
18.23,11,36,2,1,1,43
10.94,16,30,5,0,0,21
18.09,7,0,2,0,0,54
23.68,11,22,3,0,0,25
11.61,0,39,2,0,0,49
20.84,0,42,6,1,1,1
15.89,7,33,2,1,0,57
18.96,3,24,2,1,1,38
14.75,5,45,1,0,1,39
23.87,10,15,2,1,1,4
10.22,0,35,4,0,0,49
12.48,2,49,1,0,0,27
38.24,16,2,2,0,0,48
44.06,16,38,6,0,0,48
13.76,8,17,2,0,0,58
20.9,16,29,6,0,0,41
15.46,8,53,1,0,0,12
8.25,1,13,5,0,1,39
11.72,4,17,3,1,1,38
8.74,1,31,3,1,0,30
21.28,8,0,5,0,0,41
16.89,8,16,3,0,0,58
23.55,11,27,2,0,0,49
13.77,17,25,2,0,1,45
35.97,13,9,5,1,0,56
17.69,14,0,4,0,0,9
11.92,7,0,2,1,0,28
21.24,5,13,1,0,1,45
25.55,10,30,4,1,0,18
9.79,6,22,2,0,0,58
22.8,13,17,2,0,1,33
22.01,6,24,3,1,1,2
12.08,10,12,3,0,0,49
24.19,8,16,4,1,0,7
16.18,6,6,3,0,1,19
41.7,19,21,1,0,0,56
18.59,19,12,3,0,0,57
16.63,9,6,1,0,0,30
17.27,6,5,2,1,1,14
14.99,7,26,5,0,0,56
18.2,0,20,1,0,1,39
12.97,6,21,2,0,0,9
17.41,9,21,2,0,0,49
32.6,14,18,4,1,0,47
38.11,15,9,1,0,1,51
15.86,14,23,3,0,1,1
11.41,4,38,2,0,0,20
22.34,5,52,4,1,0,9
20.68,11,17,2,0,0,5
9.73,13,0,6,0,0,36
18.01,6,19,6,1,1,4
30.86,1,0,6,0,1,14
28.28,8,11,2,0,0,56
16.85,6,17,4,1,0,54
11.69,11,7,2,0,0,22
23.2,14,4,2,1,0,10
22.28,6,1,2,0,0,9
10.47,16,1,4,0,0,54
18.51,6,27,4,0,1,6
13.51,12,32,4,0,0,34
44.65,15,24,5,1,1,14
20.77,2,3,2,0,1,39
12.63,7,13,5,1,1,2
21.16,5,12,5,0,0,21
20.13,17,4,5,1,0,58
27.92,5,3,2,1,1,33
18.07,13,37,5,0,1,38
8.26,7,11,5,0,1,42
20.77,0,16,4,1,0,21
21.15,16,14,6,0,0,27
16.19,11,14,4,1,0,23
28.54,12,16,1,1,1,1
15.73,7,0,1,1,0,54
15.48,14,15,3,0,0,34
22.24,0,12,6,0,1,8
18.86,26,25,2,1,0,20
15.2,9,4,1,0,0,3
16.38,10,11,1,0,0,44
17.48,14,16,1,0,0,28
7.75,12,13,1,0,0,9
26.06,8,20,5,0,1,4
15.29,14,24,3,0,0,44
15.33,2,5,6,0,0,60
13.4,12,46,2,0,0,41
16.29,7,0,2,1,0,36
23.17,16,13,2,0,0,15
29.14,14,12,5,0,0,31
18.62,4,23,1,0,0,15
26.38,21,17,6,1,0,44
15.23,3,13,3,1,0,17
27.09,19,6,2,0,0,21
16.79,10,37,3,0,0,50
20.25,16,23,2,1,1,43
18.52,5,15,6,0,1,1
17.91,4,39,1,0,0,60
6.36,1,0,2,0,1,42
17.61,14,32,4,1,1,42
26.82,10,0,6,0,1,2
19.7,6,0,5,0,1,8
27.7,12,31,5,1,0,48
27.7,14,18,6,0,0,41
16.43,15,26,2,1,0,30
16.3,4,27,4,1,1,19
21.31,14,6,3,0,0,9
37.14,10,39,3,1,1,38
9.34,3,27,1,0,0,32
39.54,2,28,2,1,1,40
18.7,17,10,2,1,0,27
5.5,10,0,3,0,0,36
14.13,11,31,2,0,0,10
13.33,6,34,4,0,0,37
24.4,0,39,4,0,1,52
27.1,17,38,2,0,1,40
28.97,10,41,2,0,1,33
13.01,13,0,4,0,0,7
18.57,6,17,5,1,1,4
12.96,4,0,1,0,0,49
9.97,8,22,2,1,0,54
26.3,4,32,5,0,1,19
10.44,11,29,6,0,1,43
6.51,10,8,5,0,0,53
12.06,15,9,2,0,0,41
16.14,8,0,3,0,1,39
23.22,0,31,3,1,0,9
18.36,10,18,6,1,0,57
10.46,6,19,6,0,0,60
21.34,0,46,6,0,1,2
17.8,7,8,1,0,1,8
10.81,17,9,1,0,1,24
12.78,0,23,3,1,0,25
6.21,0,21,6,0,0,27
25.75,15,26,5,0,0,5
12.49,2,23,6,1,1,16
9.07,0,30,1,0,1,42
18.06,12,6,3,0,0,49
22.38,8,8,3,0,1,2
13.44,15,11,3,0,0,41
12.19,11,22,5,0,0,34
5.59,3,24,1,1,0,36
16.82,11,25,2,0,0,3
13.37,8,5,6,0,1,39
28.56,15,35,3,1,1,14
10.3,12,37,2,1,0,57
23.33,11,0,4,1,1,4
14.26,12,3,5,0,1,46
23.27,10,0,2,0,0,49
20.07,6,38,4,0,1,24
11.75,4,0,1,0,0,25
19.77,7,41,4,0,0,49
13.54,17,10,3,0,0,10
12.07,6,19,6,0,0,41
11.2,11,39,1,1,0,10
16.92,7,35,1,0,1,35
18.86,1,46,4,0,0,23
12.83,10,11,3,0,0,49
13.68,21,15,3,1,0,53
20.35,5,38,6,0,0,21
17.39,6,10,5,0,1,11
12.34,12,27,3,1,0,3
25.81,7,46,3,1,0,9
18.96,0,46,5,1,0,44
26.85,9,22,1,1,0,41
17.05,8,49,6,0,0,7
27.39,7,27,2,0,0,25
14.83,0,11,4,0,1,51
37.38,10,44,1,1,1,4
27.19,12,0,6,0,1,19
15.28,6,15,1,1,0,5
12.78,17,7,4,0,1,39
48.03,14,32,3,0,0,15
18.03,7,14,3,1,0,47
12.06,6,25,4,1,0,28
9.24,0,20,4,1,1,42
13.76,4,34,2,1,0,58
15.39,13,12,3,0,0,7
26.82,11,41,3,1,1,51
11.34,8,10,6,0,1,46
17.27,0,16,6,0,0,48
16.85,9,0,4,0,0,54
8.05,1,14,6,1,0,26
16.54,7,0,1,0,0,28
19.27,9,0,4,0,0,7
12.24,9,35,1,1,0,55
15.2,5,9,5,0,1,2
18.27,11,31,1,0,0,27
32.01,14,38,3,0,1,45
31.18,5,28,1,0,0,48
15.09,9,15,5,0,1,2
8.87,7,1,2,0,0,20
12.77,12,15,4,0,1,40
22.98,9,1,6,1,0,50
21.17,6,0,3,0,0,21
18,14,0,4,0,0,25
11.22,8,15,1,1,0,53
16.06,9,5,6,0,1,16
5.75,6,4,2,0,0,53
17.15,1,35,2,0,0,50
11.37,9,12,5,1,0,9
10.47,12,10,5,0,1,39
23.16,3,25,1,1,1,52
21.05,12,46,3,0,0,12
20.42,9,24,6,0,1,35
15.97,5,51,2,0,0,22
17.67,10,12,2,1,1,38
12.19,6,18,2,0,0,37
14.48,10,14,5,0,1,39
23.44,14,1,6,0,0,25
22.51,11,28,1,0,0,26
16.3,15,35,5,0,0,17
18.23,13,1,3,0,0,34
23.24,14,34,1,0,0,22
18.5,12,30,6,1,0,30
10.61,4,16,4,1,0,32
12.18,5,31,4,1,0,30
8.15,10,48,4,0,0,57
14.8,12,29,4,0,0,26
10.59,6,22,5,1,1,51
13.44,2,13,2,1,0,18
23.49,15,13,3,0,0,55
17.29,11,25,1,0,1,38
14.53,5,22,3,0,0,23
25.47,13,0,5,0,0,15
12.88,9,5,6,0,0,47
22.83,8,5,5,0,1,24
13.6,4,17,1,0,0,60
15.12,7,24,1,1,0,12
7.35,3,0,1,0,0,18
11.11,5,47,1,0,0,17
8.99,10,4,6,0,1,38
26.2,15,1,1,0,0,44
33.67,8,13,5,0,1,14
27.13,20,0,2,0,0,30
10.95,5,3,6,0,0,41
12.86,4,32,4,0,1,16
9,9,0,2,0,0,17
27.76,4,8,4,0,1,33
25.39,16,27,5,1,0,47
19.32,2,16,6,0,0,5
16.52,15,30,1,0,1,46
9.03,9,30,4,0,0,36
33.5,20,0,3,0,0,56
17.6,8,8,2,1,0,12
29.5,16,34,1,0,1,4
16.81,0,14,2,0,0,48
14.78,6,0,2,0,0,27
21.68,8,27,4,0,0,47
19.85,0,11,5,1,0,7
14.03,10,14,4,1,0,18
8.82,7,16,4,1,0,53
23.07,4,33,3,0,0,25
16.72,10,27,4,0,1,45
13.56,10,45,1,0,1,2
20.15,1,37,4,1,1,43
17.66,9,12,4,1,1,19
17.7,10,24,5,1,0,25
9.69,6,27,3,1,0,50
12.8,11,39,4,0,1,1
16.48,6,12,4,1,0,23
10.99,5,29,3,0,1,43
7.8,0,15,5,0,0,41
7.45,7,14,1,0,0,53
22.92,15,0,4,1,0,50
16.13,13,15,2,1,1,6
13.93,12,47,3,0,0,17
7.82,0,29,6,0,1,45
22.56,12,18,3,0,1,1
20.87,6,4,4,0,1,52
7.94,5,4,2,0,0,3
16.15,3,0,5,0,0,22
23.12,11,47,2,0,0,29
10.63,0,8,3,0,1,2
16.4,4,18,3,0,1,8
20.39,12,25,6,1,1,52
27.29,19,43,1,0,1,8
24.85,9,8,4,0,0,56
20.32,0,42,6,0,0,44
15.29,11,18,1,0,1,43
14.71,6,31,6,0,0,60
16.31,3,21,4,0,0,49
13.69,0,55,1,1,1,39
13.52,8,30,6,0,1,42
8.04,7,31,3,0,0,34
15.88,6,13,6,0,0,22
22.91,3,36,2,0,1,35
19.85,13,21,3,1,1,59
14.63,14,8,3,0,1,1
17.35,2,25,6,1,1,16
23.21,7,27,3,0,0,47
18.65,5,29,4,0,0,5
12.05,11,27,6,0,1,38
11.93,4,0,2,1,0,25
34.26,19,24,1,0,1,14
19.23,9,23,5,1,1,40
24.19,15,22,1,1,0,48
21.53,15,44,4,0,1,13
20.97,6,24,2,1,0,15
26.77,11,18,1,1,0,22
18.1,2,22,6,0,0,31
18.32,9,33,4,1,0,21
12.7,8,9,2,0,0,28
7.6,11,27,3,0,1,42
19.46,2,20,3,0,1,11
29.85,16,30,3,1,0,21
13.33,7,31,1,0,0,60
22.82,8,29,4,0,0,7
10.57,7,0,2,0,0,5
29.64,11,13,6,1,1,16
19.87,6,14,1,0,1,45
13.27,11,46,6,1,0,49
32.49,7,0,4,1,0,47
16.97,5,21,5,0,0,41
11.13,3,28,2,0,0,32
19.58,2,21,5,0,1,39
10.57,15,8,1,0,0,10
21.89,4,11,1,0,1,52
24.41,16,16,2,1,0,31
22.15,10,22,6,1,0,53
15.58,7,11,5,0,0,58
18.18,9,11,5,0,0,47
14.23,5,10,2,1,0,15
10.19,14,30,6,0,0,53
14.59,0,31,5,0,0,26
11.12,7,20,1,1,1,2
22.42,16,28,1,0,1,38
17.04,6,40,3,0,1,13
15.81,14,14,5,0,0,31
20.52,13,6,4,0,1,2
21.37,13,2,2,1,0,26
18.23,1,0,5,1,1,40
10.17,8,14,2,1,1,13
16.35,2,45,3,1,0,36
13.83,12,24,3,0,0,54
21.6,16,9,2,0,1,52
9.59,8,11,6,0,0,27
14.19,1,15,3,1,0,54
10.1,7,8,2,0,0,37
6.74,0,51,5,0,1,43
11.06,10,28,6,0,1,42
9.01,1,0,5,0,0,25
15.19,8,31,3,0,1,1
19.59,18,33,6,1,1,13
18.2,9,33,5,1,0,28
12.35,10,0,5,0,1,38
19.65,16,29,1,1,1,16
31.89,9,17,1,0,1,6
24.04,7,15,5,1,0,29
10.06,8,39,5,1,0,20
12.43,0,21,4,0,0,32
17.6,14,40,2,0,0,44
29.05,17,35,2,0,0,5
12.76,10,14,6,0,0,31
21.85,18,30,3,1,0,3
15.66,0,14,2,1,1,38
20.14,10,19,5,1,0,9
19.08,14,19,2,0,0,5
17.52,7,12,2,0,0,15
9.92,10,7,4,0,0,21
30.36,6,50,2,1,0,18
12.71,0,50,3,0,1,35
17.3,1,4,3,0,1,39
31.6,11,33,2,1,0,25
22.74,5,19,3,0,1,39
14.99,7,29,5,0,0,5
16.88,10,0,1,1,0,9
23.87,0,24,1,0,1,4
14.95,12,2,5,0,0,41
20.05,5,5,6,0,1,33
21.96,8,12,4,1,0,48
20.32,2,15,6,1,0,49
15.18,9,4,6,0,0,23
19.28,16,27,3,0,0,41
21.56,6,16,2,0,0,31
20.2,14,39,1,0,0,18
26.49,5,11,3,0,0,47
18.59,8,38,5,1,1,16
15.55,11,17,4,0,0,34
20.82,17,29,6,0,0,41
35.5,4,0,3,0,1,14
7.21,1,47,2,0,0,32
12.19,7,23,6,0,0,9
12.76,7,16,3,1,1,43
11.95,10,30,5,1,0,53
13,0,42,2,0,1,4
24.48,7,7,2,1,0,31
14.99,13,28,2,1,1,1
18.96,3,20,2,0,0,54
15.14,2,29,3,0,0,27
18.16,6,27,6,0,0,10
10.58,21,18,6,0,0,50
9.91,9,27,6,0,0,20
20.36,8,1,1,0,0,22
25.86,3,36,6,0,1,4
30.01,2,32,3,1,1,52
18.32,11,15,3,1,1,46
20.23,8,8,5,0,1,2
25.22,12,27,4,1,0,9
31.84,9,37,4,0,0,56
11.38,5,8,2,0,0,20
26.36,15,22,3,0,0,56
15.29,5,45,6,0,0,18
13.55,0,6,1,0,0,7
7.08,2,21,6,0,1,42
14.26,0,26,5,0,1,35
15.64,8,16,5,0,1,8
13.39,0,20,1,0,1,51
18.54,6,50,2,1,0,26
32.55,5,13,5,0,1,4
16.33,3,4,5,0,0,32
15.06,11,46,4,1,0,32
13.24,11,19,6,1,1,2
19.04,9,20,5,1,0,21
8.51,13,0,6,0,0,58
10.28,5,0,3,0,0,37
19.79,5,22,1,0,1,4
12.04,7,33,2,1,0,41
10.95,1,38,3,0,0,22
41.22,15,14,4,0,1,6
13.15,1,22,3,1,1,38
12.17,16,13,3,0,1,6
10.36,3,30,4,0,1,45
20.08,9,21,4,1,0,7
27.55,10,23,5,0,0,26
19.91,14,30,2,0,0,58
10.38,4,13,2,0,0,27
27.74,8,2,5,0,0,23
12.96,5,13,1,0,0,12
22.37,7,23,3,0,1,39
13.54,2,38,2,0,0,7
9.37,10,16,5,0,0,20
18.52,0,16,2,1,0,56
23.8,17,24,3,0,1,11
22.34,4,14,5,1,1,42
10.82,4,25,1,0,1,13
22.66,14,15,5,0,0,60
19.4,4,22,5,0,0,7
9.56,10,16,2,1,0,36
30.27,17,14,6,0,1,11
17.3,10,14,4,0,1,40
14.1,8,11,6,0,1,13
20.23,8,18,4,0,0,50
14.33,9,31,4,0,0,25
21.47,12,16,4,0,0,60
10.94,0,3,1,1,0,22
20.01,8,24,2,0,1,2
21.31,18,10,6,0,0,53
13.04,2,12,3,0,0,12
20.6,5,17,2,0,0,56
12.67,3,25,3,0,0,28
14.88,0,0,3,0,1,59
31.28,7,27,2,1,1,14
28.13,18,0,5,1,1,59
12.16,11,26,5,1,1,39
19.33,8,18,5,1,0,21
16.44,12,36,1,1,0,32
12.06,6,15,4,0,0,18
10.36,3,25,3,0,0,27
16.02,5,19,2,1,0,55
23.78,18,37,6,1,1,46
14.15,14,31,4,0,0,53
13.1,5,8,4,0,0,21
46.26,7,38,3,0,1,11
14.5,15,34,3,0,0,20
16.95,13,15,4,0,1,13
14.31,2,34,5,0,1,51
14.93,7,9,6,0,0,54
10.56,12,2,3,0,0,37
12.14,0,19,5,0,1,35
16.74,8,28,6,1,0,22
13.3,6,24,6,0,0,34
23.83,17,9,2,0,0,25
13.49,0,17,5,0,0,47
9.89,0,4,6,0,1,42
15.08,5,35,4,1,1,43
19.04,12,12,3,1,0,18
18.21,12,52,1,0,0,49
17.61,13,33,6,0,0,28
16.24,4,58,4,0,0,28
20.89,21,17,3,0,1,42
25.06,8,27,4,1,0,23
20.71,10,0,2,0,0,60
17.45,8,36,1,1,1,24
11.77,18,12,2,0,0,27
21.32,13,25,2,0,1,33
12.4,7,28,3,1,0,15
19.24,18,27,6,0,0,34
22.07,9,0,4,1,0,28
25.72,10,24,1,0,0,21
20.1,10,0,3,0,0,60
15.59,11,13,6,0,0,17
13.68,7,19,1,0,0,44
15.12,6,25,4,0,0,41
23.24,5,26,4,0,0,15
15.1,3,34,2,1,0,54
20.73,17,0,2,0,1,40
30.01,10,33,6,1,1,16
25.37,11,17,4,1,0,44
17.2,9,48,4,1,1,16
19.93,7,27,3,0,1,16
17.87,19,32,4,0,0,34
16.59,0,23,1,1,1,35
18.89,3,23,2,1,1,33
20.29,13,25,3,0,0,47
26.6,0,50,1,1,1,52
12.11,7,50,1,0,0,37
16.91,12,40,6,0,1,6
10.18,2,12,1,0,0,22
23.92,16,15,2,0,0,58
39.26,0,34,1,1,0,15
31.31,9,13,6,1,0,12
15.94,4,25,6,1,0,37
26.99,6,48,3,0,0,18
16.51,11,0,1,0,1,1
13.79,9,15,6,0,1,6
12.35,14,19,5,1,0,58
14.36,3,3,2,1,1,35
11.7,10,24,5,1,0,34
19.71,10,27,3,0,1,19
12.58,0,50,3,1,0,50
11.73,12,28,4,0,0,20
11.49,1,16,2,0,1,43
13.24,12,42,3,0,0,37
11,10,1,5,0,0,54
14.11,8,12,4,0,1,4
15.52,8,26,3,0,1,39
20.31,10,21,6,1,0,44
24.24,16,4,1,0,0,21
11.62,0,35,6,0,1,1
16.23,8,30,6,0,0,15
17.71,8,33,4,0,1,38
7.28,9,5,1,0,0,27
23.93,2,54,4,0,0,60
11.94,6,16,5,0,1,35
17.92,16,6,2,0,1,39
18.6,0,13,5,0,0,29
14.96,4,9,4,1,0,27
10,10,8,1,0,0,12
14.46,8,1,3,0,0,54
12.1,8,12,5,0,0,10
9.5,5,0,3,1,0,3
10.77,8,29,1,0,1,51
22.95,5,11,4,0,0,56
15.19,6,0,4,1,0,3
8.45,10,5,6,0,0,50
19.99,2,32,4,1,1,4
6.94,3,29,3,1,1,1
11.15,9,29,4,0,0,17
10.99,1,4,3,0,0,41
12.69,9,10,6,0,1,13
22.17,2,0,4,0,1,16
17.55,9,21,4,0,0,55
23.04,4,32,5,0,0,15
30.45,19,17,1,1,1,51
20.73,0,23,5,1,1,40
11.83,13,45,1,0,0,41
16.31,9,0,5,1,0,60
23.65,5,14,2,0,0,21
9.02,3,22,3,1,0,34
24.68,10,31,4,0,1,33
11.54,4,33,3,0,0,37
21.82,7,30,1,1,0,5
22.73,3,21,6,0,0,9
19.62,8,4,3,1,1,19
20.93,10,9,1,0,1,19
15.99,14,33,3,0,1,52
13.72,3,43,4,0,1,46
15.38,9,11,6,0,0,22
17.93,7,25,6,0,0,49
17.19,6,9,3,0,0,31
7.43,12,0,3,0,0,54
11.1,10,32,1,1,0,7
14.21,5,9,3,1,1,39
15.55,3,18,6,0,1,8
21.86,14,26,2,0,1,16
21.04,7,0,5,0,1,35
16.32,12,2,4,0,0,41
9.17,10,21,2,1,0,54
17.99,12,0,3,0,0,54
25.97,9,37,4,0,1,16
10.73,5,48,5,1,1,42
23.9,7,24,1,0,0,28
9.58,3,0,6,0,0,41
32.83,4,48,1,1,0,31
26.97,11,24,1,0,0,28
24.74,13,33,2,1,0,22
25.19,4,0,3,0,0,25
26.55,4,0,5,1,1,52
29.34,9,7,5,0,0,56
22.04,3,23,4,0,1,40
17.48,10,25,2,0,1,35
18.35,7,23,5,0,0,25
7.04,3,24,3,0,0,57
22.81,5,27,6,1,0,18
13.69,0,9,3,0,0,27
13.47,9,14,1,0,0,12
20.34,9,18,5,0,0,44
14.33,9,8,5,1,0,28
14.36,0,22,1,1,1,39
10.4,11,10,1,0,1,39
14.75,15,37,1,0,1,6
10.63,4,0,1,0,1,24
17.99,0,13,2,0,0,32
10.79,2,20,1,1,0,34
16.75,8,31,1,1,0,22
10.57,4,30,2,0,0,58
14.79,14,37,4,0,1,40
7.38,2,23,3,0,1,43
26.96,12,19,2,0,0,48
10.69,14,2,3,0,0,28
20.35,9,51,4,0,1,8
18.13,8,24,6,0,0,25
25.6,12,10,1,0,1,11
13.58,1,15,4,0,0,53
20.17,13,12,6,0,0,9
30.18,10,31,3,0,1,14
21.48,10,22,5,0,1,16
22.5,16,26,5,1,0,31
16.11,0,22,3,1,0,44
11.3,12,21,2,0,0,17
12.09,6,5,2,0,1,46
12.83,4,40,2,0,1,43
31.43,10,0,5,0,1,4
17.35,13,18,3,0,1,4
9.77,15,46,2,0,0,22
9.4,0,20,5,1,0,12
13.07,4,8,5,0,1,13
9.72,13,30,1,0,0,57
21.69,10,20,1,0,1,46
16.03,4,23,5,0,0,23
14.88,5,6,5,0,1,1
20.51,7,0,5,1,1,59
24.76,1,0,4,0,1,4
49.52,21,10,1,1,0,48
24.46,12,32,4,0,0,7
15.79,4,2,5,1,0,54
19.26,16,20,2,0,0,18
25.11,12,19,5,1,0,18
15.64,11,2,3,0,0,49
19.01,15,32,2,0,0,36
13.82,13,27,2,0,0,55
11.95,13,5,6,0,1,38
20.11,8,12,4,0,0,9
9.72,0,9,4,0,0,32
20.04,12,26,1,1,1,35
19.84,0,43,6,0,0,7
14.88,3,11,6,0,0,22
10.22,6,14,1,0,0,22
7.86,8,4,6,0,0,20
28.16,19,53,5,0,0,7
20.91,1,31,3,0,1,43
22.11,12,10,3,0,0,27
34.63,11,16,1,0,1,2
11.72,7,1,1,0,0,10
21.14,4,16,3,1,1,52
7.29,0,0,1,0,0,34
9.4,8,20,2,1,0,20
14.61,18,29,2,1,0,22
11.49,6,11,1,0,0,21
21.49,5,31,4,0,0,9
24.21,5,22,1,0,1,11
14.23,10,28,5,0,0,58
18.81,12,33,1,0,1,19
21.3,11,6,4,0,0,60
9.07,3,39,4,0,0,53
16.32,3,27,3,0,0,22
13.84,4,28,2,1,1,39
14.13,14,0,6,1,0,3
21.31,14,11,2,0,0,9
38.99,0,4,2,0,0,5
14.62,18,33,3,0,0,7
16.7,10,23,3,0,0,26
14.25,8,30,5,0,1,42
14.55,10,14,3,1,1,42
17.74,8,31,6,1,1,38
19.2,18,27,3,1,0,26
11.68,1,23,2,0,1,2
14.69,9,30,3,0,0,53
15.43,10,0,6,1,0,32
26.01,12,53,5,0,0,3
15.55,4,0,1,0,1,4
21.65,7,30,4,0,1,33
21.17,8,34,3,1,0,21
18.16,9,0,3,0,0,25
13.71,9,0,3,1,0,30
17.65,0,21,6,0,1,33
7.83,2,7,1,1,0,49
14.97,12,44,6,0,1,2
23.51,16,2,3,0,0,23
17.69,8,25,4,0,0,55
11.65,4,0,3,1,0,41
19.98,13,32,5,0,1,1
