score,prior_score,female,region,small_class,classroom
65,48,1,2,1,29
42,53,0,3,1,9
51,62,0,4,1,53
67,56,0,1,0,65
61,43,0,4,1,55
59,49,1,4,0,78
62,65,0,3,1,29
43,41,0,1,1,79
45,51,1,3,0,1
40,46,1,1,1,59
55,52,0,4,1,55
65,49,1,4,1,55
67,42,0,3,0,16
56,42,0,3,1,59
67,35,0,4,1,55
47,45,1,3,1,27
49,45,0,3,0,26
56,45,0,1,0,19
63,41,0,3,1,51
60,43,1,1,0,11
63,36,0,1,1,2
55,41,1,1,0,58
56,51,0,4,1,17
62,64,1,1,0,38
37,26,0,4,1,29
77,67,0,3,1,61
60,49,1,1,1,5
62,60,1,3,1,53
39,37,0,3,0,43
65,50,1,2,0,39
67,44,1,4,1,59
65,72,0,1,1,22
57,72,1,1,0,43
74,50,0,3,0,41
55,51,1,2,0,7
74,63,1,3,0,16
62,60,1,1,0,19
67,82,0,4,1,69
60,54,0,4,1,33
52,49,0,4,1,17
61,53,0,3,0,11
63,70,0,4,0,56
63,55,1,2,0,76
55,40,0,1,0,49
80,68,1,2,1,20
55,45,0,3,0,39
43,48,0,3,0,49
52,21,1,1,1,44
48,47,0,4,0,56
58,58,0,2,0,74
63,52,0,2,1,5
53,44,0,4,1,37
47,46,0,1,0,74
72,37,0,1,1,27
34,43,0,2,0,66
47,50,0,4,0,13
63,35,0,3,0,72
68,65,0,2,1,24
48,46,1,1,0,54
52,46,0,3,0,39
57,53,1,3,0,8
44,33,1,4,1,22
55,35,1,2,0,13
63,55,0,2,1,40
53,34,0,3,1,30
61,50,0,4,0,65
44,54,0,4,0,46
48,43,0,4,1,3
45,33,0,4,0,46
76,61,1,1,1,67
72,67,1,4,0,11
46,46,0,3,0,14
76,55,1,3,1,48
40,55,0,2,0,64
41,26,1,1,0,31
63,50,1,2,1,25
72,47,1,3,1,67
